EFO_ID	SEED
EFO_0004350	337
EFO_0004351	649
EFO_0004352	874
EFO_0004354	796
EFO_0004357	30
EFO_0004362	960
EFO_0004363	838
EFO_0004365	971
EFO_0004458	779
EFO_0004459	244
EFO_0004460	510
EFO_0004461	403
EFO_0004462	959
EFO_0004463	818
EFO_0004464	448
EFO_0004465	311
EFO_0004466	650
EFO_0004467	812
EFO_0004468	996
EFO_0004469	363
EFO_0004471	96
EFO_0004501	292
EFO_0004502	765
EFO_0004503	124
EFO_0004504	174
EFO_0004505	679
EFO_0004507	680
EFO_0004508	865
EFO_0004509	804
EFO_0004510	250
EFO_0004511	595
EFO_0004514	201
EFO_0004517	332
EFO_0004518	970
EFO_0004519	353
EFO_0004520	483
EFO_0004522	219
EFO_0004526	445
EFO_0004527	370
EFO_0004528	60
EFO_0004529	177
EFO_0004530	937
EFO_0004531	580
EFO_0004532	895
EFO_0004533	804
EFO_0004534	311
EFO_0004535	5
EFO_0004536	75
EFO_0004537	126
EFO_0004541	606
EFO_0004556	973
EFO_0004565	403
EFO_0004566	307
EFO_0004567	507
EFO_0004568	118
EFO_0004570	471
EFO_0004571	57
EFO_0004572	470
EFO_0004573	668
EFO_0004574	421
EFO_0004575	925
EFO_0004576	258
EFO_0004577	434
EFO_0004578	66
EFO_0004579	342
EFO_0004581	692
EFO_0004582	892
EFO_0004584	185
EFO_0004587	297
EFO_0004591	423
EFO_0004593	912
EFO_0004599	830
EFO_0004606	185
EFO_0004607	267
EFO_0004608	602
EFO_0004609	61
EFO_0004611	606
EFO_0004612	328
EFO_0004614	32
EFO_0004615	696
EFO_0004616	65
EFO_0004617	25
EFO_0004619	661
EFO_0004620	729
EFO_0004621	132
EFO_0004622	976
EFO_0004623	314
EFO_0004624	108
EFO_0004625	529
EFO_0004626	901
EFO_0004627	267
EFO_0004629	763
EFO_0004630	665
EFO_0004631	271
EFO_0004632	419
EFO_0004633	869
EFO_0004634	300
EFO_0004635	843
EFO_0004639	661
EFO_0004640	351
EFO_0004641	49
EFO_0004644	606
EFO_0004645	456
EFO_0004653	854
EFO_0004670	186
EFO_0004682	419
EFO_0004683	174
EFO_0004684	765
EFO_0004685	736
EFO_0004694	455
EFO_0004695	340
EFO_0004696	788
EFO_0004697	906
EFO_0004698	242
EFO_0004701	596
EFO_0004703	692
EFO_0004704	170
EFO_0004705	586
EFO_0004707	497
EFO_0004708	629
EFO_0004710	60
EFO_0004712	961
EFO_0004713	323
EFO_0004718	402
EFO_0004719	864
EFO_0004723	235
EFO_0004724	245
EFO_0004725	794
EFO_0004728	87
EFO_0004729	90
EFO_0004730	1
EFO_0004731	86
EFO_0004732	552
EFO_0004735	219
EFO_0004736	93
EFO_0004737	152
EFO_0004738	122
EFO_0004739	252
EFO_0004741	752
EFO_0004742	184
EFO_0004743	10
EFO_0004744	35
EFO_0004745	324
EFO_0004746	497
EFO_0004747	493
EFO_0004748	30
EFO_0004749	800
EFO_0004750	605
EFO_0004751	829
EFO_0004752	899
EFO_0004753	100
EFO_0004754	788
EFO_0004760	656
EFO_0004761	530
EFO_0004762	975
EFO_0004763	146
EFO_0004765	997
EFO_0004766	82
EFO_0004767	875
EFO_0004768	929
EFO_0004769	70
EFO_0004771	716
EFO_0004772	262
EFO_0004775	972
EFO_0004776	815
EFO_0004777	878
EFO_0004778	388
EFO_0004784	586
EFO_0004785	868
EFO_0004790	850
EFO_0004791	465
EFO_0004792	395
EFO_0004795	415
EFO_0004799	982
EFO_0004800	891
EFO_0004808	474
EFO_0004810	671
EFO_0004811	486
EFO_0004812	749
EFO_0004813	763
EFO_0004814	82
EFO_0004819	390
EFO_0004820	83
EFO_0004826	94
EFO_0004830	128
EFO_0004831	865
EFO_0004832	660
EFO_0004833	230
EFO_0004838	823
EFO_0004839	536
EFO_0004840	143
EFO_0004841	982
EFO_0004842	791
EFO_0004844	777
EFO_0004845	177
EFO_0004847	526
EFO_0004857	789
EFO_0004860	600
EFO_0004861	493
EFO_0004862	505
EFO_0004863	495
EFO_0004865	610
EFO_0004866	810
EFO_0004867	311
EFO_0004868	601
EFO_0004869	667
EFO_0004872	457
EFO_0004873	283
EFO_0004874	539
EFO_0004875	971
EFO_0004880	885
EFO_0004884	360
EFO_0004885	525
EFO_0004886	91
EFO_0004895	696
EFO_0004908	926
EFO_0004909	795
EFO_0004912	433
EFO_0004915	610
EFO_0004918	895
EFO_0004952	387
EFO_0004953	602
EFO_0004955	385
EFO_0004980	688
EFO_0004983	221
EFO_0004984	250
EFO_0004985	53
EFO_0004991	266
EFO_0004993	784
EFO_0004994	369
EFO_0004995	586
EFO_0004996	481
EFO_0004997	240
EFO_0004999	135
EFO_0005000	384
EFO_0005001	552
EFO_0005002	378
EFO_0005035	6
EFO_0005037	878
EFO_0005038	322
EFO_0005039	127
EFO_0005043	122
EFO_0005045	799
EFO_0005047	548
EFO_0005054	92
EFO_0005055	809
EFO_0005057	120
EFO_0005058	421
EFO_0005059	417
EFO_0005080	101
EFO_0005081	422
EFO_0005088	280
EFO_0005090	478
EFO_0005091	18
EFO_0005093	224
EFO_0005094	489
EFO_0005095	206
EFO_0005105	131
EFO_0005110	668
EFO_0005111	268
EFO_0005112	471
EFO_0005116	216
EFO_0005126	327
EFO_0005127	676
EFO_0005128	335
EFO_0005129	579
EFO_0005130	901
EFO_0005134	959
EFO_0005139	873
EFO_0005140	953
EFO_0005187	579
EFO_0005188	374
EFO_0005192	672
EFO_0005193	295
EFO_0005194	627
EFO_0005196	822
EFO_0005197	283
EFO_0005199	134
EFO_0005200	230
EFO_0005201	214
EFO_0005202	272
EFO_0005206	189
EFO_0005207	216
EFO_0005208	988
EFO_0005210	651
EFO_0005211	493
EFO_0005213	508
EFO_0005220	18
EFO_0005229	730
EFO_0005230	712
EFO_0005239	98
EFO_0005243	195
EFO_0005246	917
EFO_0005247	266
EFO_0005266	641
EFO_0005267	125
EFO_0005268	907
EFO_0005269	326
EFO_0005271	860
EFO_0005272	736
EFO_0005276	555
EFO_0005278	862
EFO_0005295	758
EFO_0005296	838
EFO_0005297	948
EFO_0005298	862
EFO_0005301	942
EFO_0005318	1000
EFO_0005325	260
EFO_0005400	568
EFO_0005401	422
EFO_0005402	940
EFO_0005403	709
EFO_0005404	417
EFO_0005406	73
EFO_0005408	127
EFO_0005409	855
EFO_0005410	446
EFO_0005411	704
EFO_0005413	79
EFO_0005415	897
EFO_0005416	776
EFO_0005418	861
EFO_0005419	372
EFO_0005421	868
EFO_0005423	427
EFO_0005424	843
EFO_0005426	582
EFO_0005427	349
EFO_0005512	659
EFO_0005514	823
EFO_0005524	793
EFO_0005526	504
EFO_0005527	248
EFO_0005530	845
EFO_0005536	715
EFO_0005537	452
EFO_0005538	422
EFO_0005543	48
EFO_0005570	910
EFO_0005577	280
EFO_0005611	891
EFO_0005653	711
EFO_0005654	825
EFO_0005658	167
EFO_0005660	763
EFO_0005663	2
EFO_0005664	756
EFO_0005665	321
EFO_0005666	285
EFO_0005668	464
EFO_0005669	70
EFO_0005670	479
EFO_0005671	747
EFO_0005672	321
EFO_0005674	432
EFO_0005675	562
EFO_0005677	534
EFO_0005678	557
EFO_0005680	724
EFO_0005681	92
EFO_0005682	344
EFO_0005686	928
EFO_0005691	755
EFO_0005760	686
EFO_0005762	860
EFO_0005763	31
EFO_0005766	403
EFO_0005767	119
EFO_0005773	952
EFO_0005782	956
EFO_0005842	306
EFO_0005843	559
EFO_0005845	678
EFO_0005846	423
EFO_0005849	164
EFO_0005850	693
EFO_0005851	632
EFO_0005854	609
EFO_0005895	688
EFO_0005917	939
EFO_0005918	51
EFO_0005919	120
EFO_0005921	892
EFO_0005922	984
EFO_0005924	36
EFO_0005935	802
EFO_0005936	626
EFO_0005937	608
EFO_0005938	669
EFO_0005939	782
EFO_0005940	828
EFO_0005941	816
EFO_0005949	356
EFO_0005951	708
EFO_0005952	334
EFO_0006266	217
EFO_0006309	469
EFO_0006312	859
EFO_0006315	239
EFO_0006316	463
EFO_0006317	89
EFO_0006319	361
EFO_0006331	539
EFO_0006332	825
EFO_0006333	572
EFO_0006334	260
EFO_0006335	562
EFO_0006336	558
EFO_0006337	852
EFO_0006338	268
EFO_0006340	978
EFO_0006341	909
EFO_0006345	840
EFO_0006346	730
EFO_0006347	265
EFO_0006352	87
EFO_0006462	904
EFO_0006501	739
EFO_0006502	762
EFO_0006503	357
EFO_0006504	534
EFO_0006505	387
EFO_0006508	935
EFO_0006510	347
EFO_0006511	745
EFO_0006512	640
EFO_0006513	486
EFO_0006514	644
EFO_0006515	150
EFO_0006516	833
EFO_0006519	386
EFO_0006520	84
EFO_0006522	589
EFO_0006523	399
EFO_0006524	292
EFO_0006525	191
EFO_0006526	824
EFO_0006527	624
EFO_0006781	770
EFO_0006782	841
EFO_0006784	334
EFO_0006785	142
EFO_0006788	383
EFO_0006789	657
EFO_0006790	63
EFO_0006792	117
EFO_0006793	467
EFO_0006794	334
EFO_0006795	994
EFO_0006796	237
EFO_0006797	761
EFO_0006798	551
EFO_0006799	32
EFO_0006801	942
EFO_0006802	3
EFO_0006804	217
EFO_0006805	515
EFO_0006806	939
EFO_0006807	310
EFO_0006808	134
EFO_0006809	438
EFO_0006810	795
EFO_0006811	728
EFO_0006812	624
EFO_0006821	921
EFO_0006824	720
EFO_0006828	304
EFO_0006829	735
EFO_0006831	494
EFO_0006832	401
EFO_0006834	461
EFO_0006842	863
EFO_0006845	319
EFO_0006859	162
EFO_0006861	517
EFO_0006873	756
EFO_0006876	647
EFO_0006882	82
EFO_0006896	313
EFO_0006897	108
EFO_0006899	905
EFO_0006900	609
EFO_0006902	362
EFO_0006903	157
EFO_0006917	724
EFO_0006919	237
EFO_0006920	441
EFO_0006921	388
EFO_0006923	402
EFO_0006925	148
EFO_0006927	537
EFO_0006928	823
EFO_0006929	902
EFO_0006930	772
EFO_0006931	790
EFO_0006932	656
EFO_0006933	411
EFO_0006934	295
EFO_0006935	684
EFO_0006936	967
EFO_0006937	258
EFO_0006939	663
EFO_0006940	634
EFO_0006941	942
EFO_0006942	694
EFO_0006944	680
EFO_0006945	135
EFO_0006950	414
EFO_0006952	340
EFO_0006953	846
EFO_0006954	550
EFO_0006955	512
EFO_0006956	991
EFO_0006957	271
EFO_0006958	939
EFO_0006959	279
EFO_0006995	759
EFO_0006997	60
EFO_0006999	579
EFO_0007000	91
EFO_0007001	865
EFO_0007002	22
EFO_0007004	224
EFO_0007006	316
EFO_0007007	648
EFO_0007009	945
EFO_0007010	615
EFO_0007012	888
EFO_0007013	624
EFO_0007014	532
EFO_0007015	532
EFO_0007016	835
EFO_0007017	652
EFO_0007020	646
EFO_0007034	402
EFO_0007036	578
EFO_0007040	307
EFO_0007041	763
EFO_0007042	915
EFO_0007048	175
EFO_0007053	293
EFO_0007117	933
EFO_0007118	305
EFO_0007135	368
EFO_0007149	767
EFO_0007167	848
EFO_0007187	120
EFO_0007191	943
EFO_0007208	856
EFO_0007321	280
EFO_0007445	85
EFO_0007536	464
EFO_0007537	681
EFO_0007585	81
EFO_0007591	844
EFO_0007612	633
EFO_0007614	630
EFO_0007620	726
EFO_0007621	42
EFO_0007622	806
EFO_0007624	469
EFO_0007626	747
EFO_0007627	706
EFO_0007628	833
EFO_0007629	289
EFO_0007630	970
EFO_0007633	79
EFO_0007635	32
EFO_0007645	679
EFO_0007646	261
EFO_0007650	304
EFO_0007651	653
EFO_0007653	391
EFO_0007654	446
EFO_0007658	840
EFO_0007659	922
EFO_0007660	638
EFO_0007661	562
EFO_0007664	85
EFO_0007665	73
EFO_0007666	558
EFO_0007667	686
EFO_0007670	210
EFO_0007671	671
EFO_0007675	328
EFO_0007680	302
EFO_0007681	190
EFO_0007682	429
EFO_0007684	787
EFO_0007685	902
EFO_0007698	496
EFO_0007699	650
EFO_0007701	328
EFO_0007702	623
EFO_0007704	703
EFO_0007707	325
EFO_0007708	320
EFO_0007709	709
EFO_0007710	459
EFO_0007737	26
EFO_0007738	425
EFO_0007742	897
EFO_0007744	441
EFO_0007745	293
EFO_0007755	639
EFO_0007758	614
EFO_0007759	369
EFO_0007760	344
EFO_0007761	407
EFO_0007762	815
EFO_0007763	311
EFO_0007764	980
EFO_0007765	212
EFO_0007766	88
EFO_0007768	367
EFO_0007769	460
EFO_0007772	827
EFO_0007773	158
EFO_0007774	348
EFO_0007777	323
EFO_0007778	92
EFO_0007779	979
EFO_0007780	999
EFO_0007781	374
EFO_0007783	788
EFO_0007785	428
EFO_0007786	349
EFO_0007787	70
EFO_0007788	465
EFO_0007789	588
EFO_0007790	756
EFO_0007791	963
EFO_0007793	483
EFO_0007794	473
EFO_0007795	208
EFO_0007796	132
EFO_0007797	468
EFO_0007800	793
EFO_0007801	743
EFO_0007803	773
EFO_0007804	197
EFO_0007805	303
EFO_0007806	178
EFO_0007807	808
EFO_0007813	410
EFO_0007814	77
EFO_0007819	54
EFO_0007821	477
EFO_0007822	503
EFO_0007823	998
EFO_0007824	38
EFO_0007825	115
EFO_0007828	581
EFO_0007829	795
EFO_0007830	824
EFO_0007835	796
EFO_0007836	147
EFO_0007837	332
EFO_0007838	120
EFO_0007841	368
EFO_0007842	31
EFO_0007843	422
EFO_0007845	354
EFO_0007847	444
EFO_0007848	528
EFO_0007850	450
EFO_0007852	753
EFO_0007853	176
EFO_0007855	973
EFO_0007858	126
EFO_0007864	228
EFO_0007865	908
EFO_0007869	748
EFO_0007872	350
EFO_0007873	986
EFO_0007874	510
EFO_0007875	480
EFO_0007876	516
EFO_0007877	923
EFO_0007878	339
EFO_0007883	212
EFO_0007885	410
EFO_0007886	185
EFO_0007887	84
EFO_0007888	438
EFO_0007889	10
EFO_0007890	679
EFO_0007891	475
EFO_0007892	719
EFO_0007893	603
EFO_0007894	622
EFO_0007895	25
EFO_0007897	828
EFO_0007898	222
EFO_0007901	502
EFO_0007902	819
EFO_0007903	625
EFO_0007904	935
EFO_0007905	478
EFO_0007906	977
EFO_0007908	573
EFO_0007909	877
EFO_0007916	997
EFO_0007917	54
EFO_0007918	566
EFO_0007919	944
EFO_0007922	247
EFO_0007924	515
EFO_0007925	229
EFO_0007927	720
EFO_0007928	392
EFO_0007929	972
EFO_0007930	191
EFO_0007931	306
EFO_0007933	764
EFO_0007936	98
EFO_0007937	133
EFO_0007938	435
EFO_0007940	273
EFO_0007941	670
EFO_0007942	455
EFO_0007944	982
EFO_0007947	143
EFO_0007949	131
EFO_0007955	659
EFO_0007957	32
EFO_0007959	474
EFO_0007960	98
EFO_0007964	241
EFO_0007965	368
EFO_0007966	865
EFO_0007967	656
EFO_0007969	938
EFO_0007970	945
EFO_0007971	209
EFO_0007972	604
EFO_0007973	554
EFO_0007974	407
EFO_0007975	494
EFO_0007978	254
EFO_0007979	276
EFO_0007980	175
EFO_0007984	385
EFO_0007985	676
EFO_0007986	475
EFO_0007987	164
EFO_0007988	741
EFO_0007989	353
EFO_0007990	164
EFO_0007991	286
EFO_0007992	568
EFO_0007993	892
EFO_0007994	903
EFO_0007995	2
EFO_0007996	507
EFO_0007997	36
EFO_0007998	653
EFO_0008000	507
EFO_0008002	77
EFO_0008003	411
EFO_0008005	956
EFO_0008006	113
EFO_0008007	298
EFO_0008008	217
EFO_0008009	615
EFO_0008010	888
EFO_0008011	703
EFO_0008012	589
EFO_0008013	766
EFO_0008014	764
EFO_0008015	965
EFO_0008016	692
EFO_0008017	752
EFO_0008018	876
EFO_0008019	110
EFO_0008020	973
EFO_0008021	21
EFO_0008022	806
EFO_0008023	993
EFO_0008024	939
EFO_0008025	302
EFO_0008026	644
EFO_0008027	42
EFO_0008028	784
EFO_0008029	294
EFO_0008030	600
EFO_0008031	134
EFO_0008032	799
EFO_0008033	506
EFO_0008034	851
EFO_0008035	91
EFO_0008036	966
EFO_0008039	476
EFO_0008040	899
EFO_0008041	129
EFO_0008042	911
EFO_0008043	517
EFO_0008044	510
EFO_0008045	539
EFO_0008046	683
EFO_0008048	540
EFO_0008049	847
EFO_0008050	563
EFO_0008051	836
EFO_0008052	428
EFO_0008053	439
EFO_0008054	91
EFO_0008055	458
EFO_0008056	466
EFO_0008057	881
EFO_0008058	677
EFO_0008059	104
EFO_0008060	496
EFO_0008061	48
EFO_0008062	57
EFO_0008063	939
EFO_0008064	158
EFO_0008065	775
EFO_0008066	501
EFO_0008067	384
EFO_0008068	136
EFO_0008069	443
EFO_0008070	607
EFO_0008071	694
EFO_0008072	918
EFO_0008073	736
EFO_0008074	449
EFO_0008075	15
EFO_0008076	131
EFO_0008078	530
EFO_0008079	30
EFO_0008081	214
EFO_0008082	472
EFO_0008083	143
EFO_0008084	165
EFO_0008085	26
EFO_0008086	176
EFO_0008087	309
EFO_0008088	641
EFO_0008089	872
EFO_0008090	476
EFO_0008091	102
EFO_0008092	630
EFO_0008093	796
EFO_0008094	260
EFO_0008095	98
EFO_0008096	648
EFO_0008097	644
EFO_0008098	480
EFO_0008099	339
EFO_0008100	442
EFO_0008101	973
EFO_0008102	800
EFO_0008103	435
EFO_0008104	979
EFO_0008105	584
EFO_0008106	497
EFO_0008107	498
EFO_0008108	272
EFO_0008109	728
EFO_0008110	330
EFO_0008111	304
EFO_0008112	993
EFO_0008113	549
EFO_0008114	712
EFO_0008115	524
EFO_0008116	267
EFO_0008117	117
EFO_0008118	862
EFO_0008119	250
EFO_0008120	183
EFO_0008121	9
EFO_0008122	752
EFO_0008123	19
EFO_0008124	267
EFO_0008125	816
EFO_0008126	200
EFO_0008127	323
EFO_0008128	357
EFO_0008129	959
EFO_0008130	738
EFO_0008131	740
EFO_0008132	532
EFO_0008133	747
EFO_0008134	177
EFO_0008135	541
EFO_0008136	801
EFO_0008137	782
EFO_0008138	381
EFO_0008139	686
EFO_0008140	359
EFO_0008141	131
EFO_0008142	474
EFO_0008144	337
EFO_0008145	694
EFO_0008146	358
EFO_0008148	98
EFO_0008149	443
EFO_0008150	535
EFO_0008151	429
EFO_0008152	151
EFO_0008153	745
EFO_0008154	48
EFO_0008155	802
EFO_0008156	241
EFO_0008157	968
EFO_0008158	55
EFO_0008159	768
EFO_0008160	832
EFO_0008161	665
EFO_0008162	668
EFO_0008163	929
EFO_0008164	456
EFO_0008165	401
EFO_0008167	717
EFO_0008168	379
EFO_0008169	812
EFO_0008170	205
EFO_0008171	416
EFO_0008172	15
EFO_0008173	605
EFO_0008174	751
EFO_0008175	826
EFO_0008176	572
EFO_0008177	194
EFO_0008178	369
EFO_0008179	988
EFO_0008180	501
EFO_0008181	968
EFO_0008182	623
EFO_0008183	780
EFO_0008184	685
EFO_0008185	218
EFO_0008186	533
EFO_0008187	638
EFO_0008188	701
EFO_0008189	415
EFO_0008190	456
EFO_0008191	73
EFO_0008193	122
EFO_0008194	321
EFO_0008195	54
EFO_0008196	157
EFO_0008197	990
EFO_0008198	481
EFO_0008199	990
EFO_0008200	867
EFO_0008201	67
EFO_0008202	128
EFO_0008203	57
EFO_0008204	159
EFO_0008205	220
EFO_0008206	866
EFO_0008207	598
EFO_0008208	166
EFO_0008209	772
EFO_0008210	637
EFO_0008211	507
EFO_0008212	944
EFO_0008213	63
EFO_0008215	750
EFO_0008216	797
EFO_0008217	172
EFO_0008219	930
EFO_0008220	989
EFO_0008221	372
EFO_0008222	436
EFO_0008223	5
EFO_0008224	704
EFO_0008225	147
EFO_0008226	33
EFO_0008227	71
EFO_0008228	135
EFO_0008229	791
EFO_0008230	251
EFO_0008231	849
EFO_0008232	324
EFO_0008233	35
EFO_0008234	151
EFO_0008235	932
EFO_0008236	375
EFO_0008238	352
EFO_0008239	671
EFO_0008240	295
EFO_0008241	188
EFO_0008243	377
EFO_0008244	177
EFO_0008246	190
EFO_0008247	406
EFO_0008248	764
EFO_0008249	394
EFO_0008250	552
EFO_0008251	71
EFO_0008252	387
EFO_0008253	118
EFO_0008254	57
EFO_0008255	864
EFO_0008256	715
EFO_0008257	786
EFO_0008258	138
EFO_0008259	383
EFO_0008260	759
EFO_0008261	741
EFO_0008262	144
EFO_0008263	87
EFO_0008264	576
EFO_0008265	137
EFO_0008266	483
EFO_0008268	103
EFO_0008269	231
EFO_0008270	664
EFO_0008271	890
EFO_0008272	313
EFO_0008273	685
EFO_0008274	724
EFO_0008275	231
EFO_0008276	1000
EFO_0008277	841
EFO_0008278	113
EFO_0008279	256
EFO_0008280	421
EFO_0008281	965
EFO_0008282	508
EFO_0008283	867
EFO_0008284	94
EFO_0008285	1
EFO_0008286	508
EFO_0008287	435
EFO_0008288	494
EFO_0008289	641
EFO_0008290	235
EFO_0008291	619
EFO_0008292	160
EFO_0008293	840
EFO_0008294	459
EFO_0008295	764
EFO_0008296	491
EFO_0008297	91
EFO_0008298	519
EFO_0008299	568
EFO_0008300	609
EFO_0008301	153
EFO_0008302	458
EFO_0008303	612
EFO_0008304	176
EFO_0008305	260
EFO_0008306	15
EFO_0008308	360
EFO_0008309	22
EFO_0008310	696
EFO_0008311	74
EFO_0008312	298
EFO_0008313	360
EFO_0008314	909
EFO_0008315	51
EFO_0008317	823
EFO_0008318	320
EFO_0008319	406
EFO_0008321	423
EFO_0008322	430
EFO_0008326	923
EFO_0008328	862
EFO_0008331	359
EFO_0008332	561
EFO_0008336	658
EFO_0008340	797
EFO_0008341	425
EFO_0008343	19
EFO_0008344	545
EFO_0008354	107
EFO_0008365	707
EFO_0008366	517
EFO_0008368	64
EFO_0008372	455
EFO_0008373	50
EFO_0008375	20
EFO_0008377	600
EFO_0008378	579
EFO_0008379	958
EFO_0008380	213
EFO_0008381	876
EFO_0008384	138
EFO_0008390	946
EFO_0008392	454
EFO_0008393	30
EFO_0008394	118
EFO_0008395	778
EFO_0008398	564
EFO_0008400	106
EFO_0008401	689
EFO_0008402	331
EFO_0008403	417
EFO_0008404	331
EFO_0008405	28
EFO_0008406	306
EFO_0008407	430
EFO_0008408	318
EFO_0008409	852
EFO_0008410	285
EFO_0008411	769
EFO_0008412	956
EFO_0008413	651
EFO_0008423	629
EFO_0008424	750
EFO_0008425	453
EFO_0008426	589
EFO_0008427	466
EFO_0008428	847
EFO_0008429	657
EFO_0008430	689
EFO_0008431	103
EFO_0008432	947
EFO_0008433	950
EFO_0008434	702
EFO_0008449	749
EFO_0008457	762
EFO_0008458	250
